marxin@marxinbox:~/Programming/creduce-benchmarks/pr94523-template-depth> git co pr94523.ii && TMPDIR=/dev/shm/tmp creduce --n 16 reduce-ice.sh pr94523.ii --timing
Updated 0 paths from the index
2020-04-12 12:06:43,991 INFO (50.5%, 1079448 bytes)
2020-04-12 12:06:48,473 INFO (54.0%, 1002253 bytes)
2020-04-12 12:06:50,272 INFO (54.1%, 1000359 bytes)
2020-04-12 12:06:52,060 INFO (56.3%, 951619 bytes)
2020-04-12 12:06:53,451 INFO (58.2%, 911835 bytes)
2020-04-12 12:06:54,831 INFO (59.1%, 891446 bytes)
2020-04-12 12:06:58,984 INFO (60.1%, 868682 bytes)
2020-04-12 12:07:04,001 INFO (61.1%, 847764 bytes)
2020-04-12 12:07:05,974 INFO (61.5%, 837914 bytes)
2020-04-12 12:07:07,593 INFO (62.0%, 827804 bytes)
2020-04-12 12:07:09,190 INFO (62.8%, 810792 bytes)
2020-04-12 12:07:10,443 INFO (63.3%, 799016 bytes)
2020-04-12 12:07:11,956 INFO (64.3%, 777794 bytes)
2020-04-12 12:07:13,021 INFO (64.7%, 768561 bytes)
2020-04-12 12:07:15,419 INFO (65.4%, 754813 bytes)
2020-04-12 12:07:18,611 INFO (66.0%, 741769 bytes)
2020-04-12 12:07:19,651 INFO (66.5%, 730372 bytes)
2020-04-12 12:07:21,199 INFO (66.8%, 723913 bytes)
2020-04-12 12:07:23,470 INFO (67.0%, 719287 bytes)
2020-04-12 12:07:25,485 INFO (67.2%, 714636 bytes)
2020-04-12 12:07:26,493 INFO (67.7%, 704906 bytes)
2020-04-12 12:07:27,732 INFO (67.9%, 699875 bytes)
2020-04-12 12:07:29,711 INFO (68.1%, 694446 bytes)
2020-04-12 12:07:30,677 INFO (68.4%, 689285 bytes)
2020-04-12 12:07:32,606 INFO (68.7%, 681826 bytes)
2020-04-12 12:07:35,223 INFO (69.0%, 675250 bytes)
2020-04-12 12:07:37,588 INFO (69.2%, 671271 bytes)
2020-04-12 12:07:40,880 INFO (69.5%, 664987 bytes)
2020-04-12 12:07:42,257 INFO (69.6%, 662480 bytes)
2020-04-12 12:07:43,391 INFO (69.7%, 659686 bytes)
2020-04-12 12:07:45,183 INFO (69.8%, 657024 bytes)
2020-04-12 12:07:46,516 INFO (69.9%, 654941 bytes)
2020-04-12 12:07:47,393 INFO (70.0%, 652933 bytes)
2020-04-12 12:07:48,477 INFO (70.1%, 650787 bytes)
2020-04-12 12:07:50,215 INFO (70.3%, 648094 bytes)
2020-04-12 12:07:51,957 INFO (70.4%, 645847 bytes)
2020-04-12 12:07:53,029 INFO (70.5%, 642599 bytes)
2020-04-12 12:07:53,891 INFO (70.7%, 638634 bytes)
2020-04-12 12:07:55,384 INFO (70.8%, 636765 bytes)
2020-04-12 12:07:56,655 INFO (70.8%, 635393 bytes)
2020-04-12 12:07:58,351 INFO (70.9%, 633881 bytes)
2020-04-12 12:08:00,051 INFO (71.0%, 631606 bytes)
2020-04-12 12:08:02,799 INFO (71.2%, 627709 bytes)
2020-04-12 12:08:03,860 INFO (71.3%, 625763 bytes)
2020-04-12 12:08:04,901 INFO (71.5%, 621869 bytes)
2020-04-12 12:08:05,931 INFO (71.6%, 619058 bytes)
2020-04-12 12:08:07,794 INFO (71.6%, 617886 bytes)
2020-04-12 12:08:08,830 INFO (71.7%, 616712 bytes)
2020-04-12 12:08:09,646 INFO (71.8%, 615099 bytes)
2020-04-12 12:08:10,666 INFO (71.8%, 613456 bytes)
2020-04-12 12:08:12,100 INFO (72.0%, 609422 bytes)
2020-04-12 12:08:13,727 INFO (72.1%, 608335 bytes)
2020-04-12 12:08:14,953 INFO (72.2%, 606375 bytes)
2020-04-12 12:08:16,186 INFO (72.3%, 602739 bytes)
2020-04-12 12:08:16,995 INFO (72.5%, 599188 bytes)
2020-04-12 12:08:18,611 INFO (72.6%, 597377 bytes)
2020-04-12 12:08:19,409 INFO (72.7%, 595928 bytes)
2020-04-12 12:08:20,406 INFO (72.7%, 594766 bytes)
2020-04-12 12:08:21,410 INFO (72.8%, 593629 bytes)
2020-04-12 12:08:22,404 INFO (72.8%, 592392 bytes)
2020-04-12 12:08:23,798 INFO (72.9%, 591359 bytes)
2020-04-12 12:08:24,795 INFO (72.9%, 589895 bytes)
2020-04-12 12:08:25,773 INFO (73.0%, 587581 bytes)
2020-04-12 12:08:26,958 INFO (73.1%, 586708 bytes)
2020-04-12 12:08:27,737 INFO (73.1%, 585691 bytes)
2020-04-12 12:08:28,902 INFO (73.2%, 584246 bytes)
2020-04-12 12:08:29,675 INFO (73.2%, 583226 bytes)
2020-04-12 12:08:30,854 INFO (73.3%, 581987 bytes)
2020-04-12 12:08:32,047 INFO (73.3%, 581024 bytes)
2020-04-12 12:08:32,825 INFO (73.4%, 580423 bytes)
2020-04-12 12:08:33,804 INFO (73.4%, 579832 bytes)
2020-04-12 12:08:34,968 INFO (73.4%, 579089 bytes)
2020-04-12 12:08:36,329 INFO (73.5%, 578430 bytes)
2020-04-12 12:08:37,286 INFO (73.5%, 577892 bytes)
2020-04-12 12:08:38,051 INFO (73.5%, 577316 bytes)
2020-04-12 12:08:39,404 INFO (73.6%, 576109 bytes)
2020-04-12 12:08:40,555 INFO (73.6%, 575084 bytes)
2020-04-12 12:08:41,318 INFO (73.7%, 573746 bytes)
2020-04-12 12:08:42,459 INFO (73.7%, 572796 bytes)
2020-04-12 12:08:43,418 INFO (73.8%, 571837 bytes)
2020-04-12 12:08:44,377 INFO (73.8%, 570732 bytes)
2020-04-12 12:08:45,132 INFO (73.9%, 569718 bytes)
2020-04-12 12:08:46,652 INFO (74.0%, 567335 bytes)
2020-04-12 12:08:47,407 INFO (74.0%, 566614 bytes)
2020-04-12 12:08:48,531 INFO (74.1%, 563922 bytes)
2020-04-12 12:08:49,279 INFO (74.2%, 562730 bytes)
2020-04-12 12:08:50,205 INFO (74.2%, 561592 bytes)
2020-04-12 12:08:52,251 INFO (74.3%, 560767 bytes)
2020-04-12 12:08:53,176 INFO (74.3%, 559384 bytes)
2020-04-12 12:08:54,094 INFO (74.4%, 557427 bytes)
2020-04-12 12:08:55,382 INFO (74.5%, 556717 bytes)
2020-04-12 12:08:56,500 INFO (74.6%, 554379 bytes)
2020-04-12 12:08:57,402 INFO (74.6%, 553659 bytes)
2020-04-12 12:08:58,857 INFO (74.6%, 552715 bytes)
2020-04-12 12:09:01,040 INFO (74.7%, 550875 bytes)
2020-04-12 12:09:02,132 INFO (74.7%, 550338 bytes)
2020-04-12 12:09:03,216 INFO (74.8%, 549597 bytes)
2020-04-12 12:09:03,931 INFO (74.8%, 549006 bytes)
2020-04-12 12:09:05,010 INFO (74.9%, 547524 bytes)
2020-04-12 12:09:05,724 INFO (74.9%, 547027 bytes)
2020-04-12 12:09:06,459 INFO (74.9%, 546542 bytes)
2020-04-12 12:09:07,364 INFO (74.9%, 546181 bytes)
2020-04-12 12:09:07,911 INFO (75.0%, 545496 bytes)
2020-04-12 12:09:08,803 INFO (75.0%, 545015 bytes)
2020-04-12 12:09:09,516 INFO (75.0%, 544634 bytes)
2020-04-12 12:09:10,596 INFO (75.0%, 543938 bytes)
2020-04-12 12:09:11,302 INFO (75.1%, 542833 bytes)
2020-04-12 12:09:12,188 INFO (75.1%, 542150 bytes)
2020-04-12 12:09:13,080 INFO (75.1%, 541560 bytes)
2020-04-12 12:09:13,963 INFO (75.2%, 540908 bytes)
2020-04-12 12:09:15,398 INFO (75.2%, 540266 bytes)
2020-04-12 12:09:15,941 INFO (75.2%, 539984 bytes)
2020-04-12 12:09:16,830 INFO (75.2%, 539509 bytes)
2020-04-12 12:09:17,909 INFO (75.3%, 538750 bytes)
2020-04-12 12:09:18,611 INFO (75.3%, 538489 bytes)
2020-04-12 12:09:19,489 INFO (75.3%, 538239 bytes)
2020-04-12 12:09:20,551 INFO (75.3%, 537959 bytes)
2020-04-12 12:09:21,262 INFO (75.3%, 537681 bytes)
2020-04-12 12:09:22,147 INFO (75.3%, 537429 bytes)
2020-04-12 12:09:23,037 INFO (75.4%, 537130 bytes)
2020-04-12 12:09:24,452 INFO (75.4%, 536413 bytes)
2020-04-12 12:09:25,170 INFO (75.4%, 535829 bytes)
2020-04-12 12:09:25,703 INFO (75.4%, 535226 bytes)
2020-04-12 12:09:26,568 INFO (75.5%, 534700 bytes)
2020-04-12 12:09:27,797 INFO (75.5%, 534279 bytes)
2020-04-12 12:09:28,328 INFO (75.5%, 533853 bytes)
2020-04-12 12:09:29,209 INFO (75.5%, 532957 bytes)
2020-04-12 12:09:29,914 INFO (75.6%, 532361 bytes)
2020-04-12 12:09:30,956 INFO (75.6%, 531665 bytes)
2020-04-12 12:09:32,166 INFO (75.7%, 529786 bytes)
2020-04-12 12:09:33,207 INFO (75.7%, 529415 bytes)
2020-04-12 12:09:34,079 INFO (75.7%, 528738 bytes)
2020-04-12 12:09:34,941 INFO (75.8%, 528379 bytes)
2020-04-12 12:09:35,803 INFO (75.8%, 527236 bytes)
